entry_id,week_number,stage,q1_score,q2_score,q3_score,q4_score,participant_age,participant_gender,doodle_storage_path
063,2,1,5,1,1,1,20.0,female,week-2/w2_s1_063.png
064,2,2,2,3,2,3,,male,week-2/w2_s2_064.png
065,2,2,5,1,2,2,23.0,male,week-2/w2_s2_065.png
066,2,2,4,1,5,2,20.0,male,week-2/w2_s2_066.png
067,2,2,2,4,1,4,20.0,female,week-2/w2_s2_067.png
068,2,2,4,4,2,2,20.0,female,week-2/w2_s2_068.png
069,2,2,4,4,4,1,24.0,male,week-2/w2_s2_069.png
070,2,2,5,2,5,2,23.0,female,week-2/w2_s2_070.png
071,2,2,1,2,5,1,21.0,male,week-2/w2_s2_071.png
072,2,2,1,2,4,1,28.0,male,week-2/w2_s2_072.png
073,2,2,5,3,1,3,19.0,female,week-2/w2_s2_073.png
074,2,2,4,3,1,4,21.0,female,week-2/w2_s2_074.png
075,2,2,3,5,5,1,23.0,prefer_not_to_say,week-2/w2_s2_075.png
076,2,2,2,2,5,2,19.0,male,week-2/w2_s2_076.png
077,2,2,1,3,5,3,61.0,male,week-2/w2_s2_077.png
078,2,2,3,5,1,5,19.0,female,week-2/w2_s2_078.png
079,2,2,4,2,5,3,22.0,female,week-2/w2_s2_079.png
080,2,2,1,4,3,5,19.0,male,week-2/w2_s2_080.png
081,2,2,4,2,1,3,20.0,female,week-2/w2_s2_081.png
082,2,2,4,5,1,3,23.0,female,week-2/w2_s2_082.png
083,2,2,2,1,1,1,19.0,female,week-2/w2_s2_083.png
084,2,2,2,3,1,5,19.0,female,week-2/w2_s2_084.png
085,2,2,4,5,1,5,20.0,female,week-2/w2_s2_085.png
086,2,2,5,4,5,5,25.0,female,week-2/w2_s2_086.png
087,2,2,5,1,1,3,21.0,female,week-2/w2_s2_087.png
088,2,2,2,1,5,1,19.0,female,week-2/w2_s2_088.png
089,2,2,3,5,1,4,25.0,female,week-2/w2_s2_089.png
